phenotype	class
CO	cardiac
CO_index	cardiac
SV	cardiac
SVi	cardiac
LVEF	cardiac
LVmass	cardiac
LVmass_index	cardiac
LVEDV	cardiac
LVEDVi	cardiac
LVESV	cardiac
LVESVi	cardiac
Android_fat_BMIadj	adiposity_bmi_height_adjusted
Gynoid_fat_BMIadj	adiposity_bmi_height_adjusted
Leg_fat_BMIadj	adiposity_bmi_height_adjusted
Total_fat_BMIadj	adiposity_bmi_height_adjusted
Trunk_fat_BMIadj	adiposity_bmi_height_adjusted
VAT_fat_BMIadj	adiposity_bmi_height_adjusted
Android_fat	adiposity
Gynoid_fat	adiposity
Leg_fat	adiposity
Total_fat	adiposity
Trunk_fat	adiposity
VAT_fat	adiposity
Android_to_Gynoid_fat	adiposity_ratio
Gynoid_to_Total_fat	adiposity_ratio
Leg_to_Total_fat	adiposity_ratio
Trunk_to_Leg_fat	adiposity_ratio
Arms_lean_BMIadj	adiposity_bmi_height_adjusted
Gynoid_lean_BMIadj	adiposity_bmi_height_adjusted
Leg_lean_BMIadj	adiposity_bmi_height_adjusted
Total_lean_BMIadj	adiposity_bmi_height_adjusted
Trunk_lean_BMIadj	adiposity_bmi_height_adjusted
Arms_lean	adiposity
Gynoid_lean	adiposity
Leg_lean	adiposity
Total_lean	adiposity
Trunk_lean	adiposity
Arms_to_Trunk_lean	adiposity_ratio
Leg_to_Trunk_lean	adiposity_ratio
VAT_to_Android	adiposity_ratio
VAT_to_Gynoid	adiposity_ratio
VAT_to_Trunk	adiposity_ratio
