FID	IID	consent_ok	wgs_available	sex_concordant	no_sex_chr_aneuploidy	heterozygosity_missingness_ok	not_outlier	wgs_batch_available
SYN001	SYN001	1	1	1	1	1	1	1
SYN002	SYN002	1	1	1	1	1	1	1
SYN003	SYN003	1	1	1	1	1	1	1
SYN004	SYN004	1	1	1	1	1	1	1
SYN005	SYN005	1	1	1	1	1	1	1
SYN006	SYN006	1	1	1	1	1	1	1
SYN007	SYN007	1	0	1	1	1	1	1
SYN008	SYN008	1	1	1	1	1	1	1
SYN009	SYN009	1	1	1	1	1	1	1
SYN010	SYN010	1	1	1	1	1	1	1
SYN011	SYN011	1	1	1	1	1	1	1
SYN012	SYN012	1	1	1	1	1	1	1
SYN013	SYN013	1	1	1	1	1	1	1
SYN014	SYN014	1	1	1	1	1	1	1
SYN015	SYN015	1	1	1	1	1	1	1
SYN016	SYN016	1	1	1	1	1	1	1
SYN017	SYN017	1	1	1	1	1	1	1
SYN018	SYN018	1	1	1	1	1	1	1
SYN019	SYN019	1	1	1	1	1	1	1
SYN020	SYN020	1	1	1	1	1	1	1
SYN021	SYN021	1	1	1	1	1	1	1
SYN022	SYN022	1	1	1	1	1	1	1
SYN023	SYN023	1	1	0	1	1	1	1
SYN024	SYN024	1	1	1	1	1	1	1
SYN025	SYN025	1	1	1	1	1	1	1
SYN026	SYN026	1	1	1	1	1	1	1
SYN027	SYN027	1	1	1	1	1	1	1
SYN028	SYN028	1	1	1	1	1	1	1
SYN029	SYN029	1	1	1	1	1	1	1
SYN030	SYN030	1	1	1	1	1	1	1
SYN031	SYN031	1	1	1	1	1	1	1
SYN032	SYN032	1	1	1	1	1	1	1
SYN033	SYN033	1	1	1	1	1	1	1
SYN034	SYN034	1	1	1	1	1	1	1
SYN035	SYN035	1	1	1	1	1	1	1
SYN036	SYN036	1	1	1	1	1	1	1
SYN037	SYN037	1	1	1	1	1	1	1
SYN038	SYN038	1	1	1	1	1	1	1
SYN039	SYN039	1	1	1	1	1	1	1
SYN040	SYN040	1	1	1	1	1	1	1
SYN041	SYN041	1	0	1	1	1	1	1
SYN042	SYN042	1	1	1	1	1	1	1
SYN043	SYN043	1	1	1	1	1	1	1
SYN044	SYN044	1	1	1	1	1	1	1
SYN045	SYN045	1	1	1	1	1	1	1
SYN046	SYN046	1	1	1	1	1	1	1
SYN047	SYN047	1	1	1	1	1	1	1
SYN048	SYN048	1	1	1	1	1	1	1
SYN049	SYN049	1	1	1	1	1	1	1
SYN050	SYN050	1	1	1	1	1	1	1
SYN051	SYN051	1	1	1	1	1	1	1
SYN052	SYN052	1	1	1	1	1	1	1
SYN053	SYN053	1	1	1	1	1	1	1
SYN054	SYN054	1	1	1	1	1	1	1
SYN055	SYN055	1	1	1	1	1	1	1
SYN056	SYN056	1	1	1	1	1	1	1
SYN057	SYN057	1	1	1	1	1	1	1
SYN058	SYN058	1	1	1	1	0	1	1
SYN059	SYN059	1	1	1	1	1	1	1
SYN060	SYN060	1	1	1	1	1	1	1
SYN061	SYN061	1	1	1	1	1	1	1
SYN062	SYN062	1	1	1	1	1	1	1
SYN063	SYN063	1	1	1	1	1	1	1
SYN064	SYN064	1	1	1	1	1	1	1
SYN065	SYN065	1	1	1	1	1	1	1
SYN066	SYN066	1	1	1	1	1	1	1
SYN067	SYN067	1	1	1	1	1	1	1
SYN068	SYN068	1	1	1	1	1	1	1
SYN069	SYN069	1	1	1	1	1	1	1
SYN070	SYN070	1	1	1	1	1	1	1
SYN071	SYN071	1	1	1	1	1	1	1
SYN072	SYN072	1	1	1	1	1	1	1
SYN073	SYN073	1	1	1	1	1	1	1
SYN074	SYN074	1	1	1	1	1	1	1
SYN075	SYN075	1	1	1	1	1	1	1
SYN076	SYN076	1	1	1	1	1	0	1
SYN077	SYN077	1	1	1	1	1	1	1
SYN078	SYN078	1	1	1	1	1	1	1
SYN079	SYN079	1	1	1	1	1	1	1
SYN080	SYN080	1	1	1	1	1	1	1
SYN081	SYN081	1	1	1	1	1	1	1
SYN082	SYN082	1	1	1	1	1	1	1
SYN083	SYN083	1	1	1	1	1	1	1
SYN084	SYN084	1	1	1	1	1	1	1
SYN085	SYN085	1	1	1	1	1	1	1
SYN086	SYN086	1	1	1	1	1	1	1
SYN087	SYN087	1	1	1	1	1	1	1
SYN088	SYN088	1	1	1	1	1	1	1
SYN089	SYN089	1	1	1	1	1	1	1
SYN090	SYN090	1	1	1	1	1	1	1
SYN091	SYN091	1	1	1	1	1	1	1
SYN092	SYN092	1	1	1	1	1	1	1
SYN093	SYN093	1	1	1	1	1	1	1
SYN094	SYN094	1	1	1	1	1	1	1
SYN095	SYN095	1	1	1	1	1	1	1
SYN096	SYN096	1	1	1	1	1	1	1
SYN097	SYN097	1	1	1	1	1	1	1
SYN098	SYN098	1	1	1	1	1	1	1
SYN099	SYN099	1	1	1	1	1	1	1
SYN100	SYN100	1	1	1	1	1	1	1
